title
"Number of Jobs Ended: by User Institution"
parameters

start,end
2015-03-01,2015-03-31
---------
"User Institution","Number of Jobs Ended","Number of Jobs via Gateway","Number of Jobs Running","Number of Jobs Started","Number of Jobs Submitted","Number of Users: Active","Number of PIs: Active","Number of Allocations: Active","Number of Institutions: Active","XD SUs Charged: Total","NUs Charged: Total","CPU Hours: Total","Node Hours: Total","Wait Hours: Total","Wall Hours: Total","XD SUs Charged: Per Job","Std Err of XD SUs Charged: Per Job","NUs Charged: Per Job","Std Err of NUs Charged: Per Job","CPU Hours: Per Job","Std Err of CPU Hours: Per Job","Node Hours: Per Job","Std Err of Node Hours: Per Job","Wait Hours: Per Job","Std Err of Wait Hours: Per Job","Wall Hours: Per Job","Std Err of Wall Hours: Per Job","Job Size: Per Job (Core Count)","Std Err of Job Size: Per Job (Core Count)","Job Size: Min (Core Count)","Job Size: Max (Core Count)","XSEDE Utilization (%)","User Expansion Factor","Job Size: Normalized (% of Total Cores)","Job Size: Weighted By XD SUs (Core Count)","Number of Resources: Active","Allocation Usage Rate (XD SU/Hour)"
"U Indonesia - University of Indonesia",614,0,615,614,614,14,1,1,1,3095,66777.720,673.5422,42.0966,2.4054,18.0690,5.0407,0.823139584092247,108.7585016,17.76005966637432,1.09697427,0.1789768837600514,0.06856124,0.011186055235003212,0.00391759,0.0006424470575098378,0.02942834,0.005131712576891068,35,1.5653008257679137,16,528,0.000983634%,1.2084,0.03418,72.1060,1,4.1655
"UC Irvine - University of California, Irvine",610,0,1003,671,388,13,7,7,1,2482465,53561664.840,533837.2842,33364.8305,12288.5684,8349.0494,4069.6148,169.37998483453146,87806.0079344,3654.5425527898506,875.14308885,36.752428758796995,54.69644344,2.297026797424814,18.31381282,1.0395543770351037,13.68696623,0.2805329516790708,82,10.487029066955886,16,4000,0.779610398%,2.4084,0.08008,217.6249,1,3341.1373
"NC State U - North Carolina State University",607,0,783,592,324,15,5,5,1,649240,14008002.240,159001.8534,37975.0787,11486.4349,4571.7857,1069.5881,65.788986263036,23077.4336738,1419.4631676112647,261.94704020,16.65224734547446,62.56190890,10.480294262384541,19.40276166,2.06367399499598,7.53177216,0.25754705836800157,135,14.268750204389237,16,4096,0.196648972%,3.8347,0.11131,411.1872,3,873.8089
"U South Carolina - University of South Carolina",592,0,880,556,123,7,5,5,1,1198816,25865654.016,428463.7598,17399.9962,14711.1305,8722.6257,2025.0270,174.7045388120875,43691.9831351,3769.4251294096,723.75635101,88.25830082343198,29.39188547,2.7052592997222487,26.45886781,0.6586446760287631,14.73416503,0.17300494406298197,81,15.829770454053794,16,3840,0.555855992%,2.3136,0.06451,879.1257,2,1613.4805
"Northwestern U - Northwestern University",560,0,631,553,414,13,11,12,1,671065,14478898.440,174582.3555,56009.3841,4506.9876,1928.9245,1198.3304,238.87793628181623,25855.1757857,5154.030353216467,311.75420625,52.663198682990064,100.01675732,13.725815202319945,8.15006799,0.6212619551170772,3.44450804,0.2708321750864165,136,22.887265578397855,16,4096,0.244108962%,1.5340,0.12770,465.7458,2,903.1830
"U Kentucky - University of Kentucky",558,0,707,560,305,7,5,5,1,2512644,54212806.944,543704.1056,33402.9424,9078.8314,3816.7920,4502.9462,447.214316602598,97155.5680000,9649.096095017654,974.38011756,97.17559299957398,59.86190394,6.089263377881544,16.21219893,0.7417192664557625,6.84012903,0.1442523651392024,691,62.87028507721836,16,4096,0.613977908%,21.1852,0.51279,3222.8317,4,3381.7550
"U Montana - University of Montana",532,0,536,532,532,9,1,1,1,6104,131699.904,1379.0695,87.5611,3.9072,22.2650,11.4737,1.2778298082691815,247.5562105,27.57045594321586,2.59223590,0.2938734497222668,0.16458853,0.01833416757939469,0.00734436,0.0010499682021746215,0.04185150,0.00864965772357982,84,4.741800743605884,1,256,0.001866956%,1.4701,0.07449,199.6676,2,8.2153
"Virginia Commonwealth U - Virginia Commonwealth University",530,0,797,525,451,3,1,1,1,727685,15700531.560,256293.4717,9787.6554,1054.7470,6193.9422,1372.9906,72.63773242463441,29623.6444528,1567.231714793912,483.57258811,18.737760218948456,18.46727434,0.9238357282495868,2.00904190,0.19267405823952102,11.68668340,0.34249477455744787,51,2.242284729523051,4,256,1.739958220%,1.4596,0.20276,58.0053,2,979.3876
"U Mass, Amherst - University of Massachusetts, Amherst",527,0,618,527,505,6,5,5,1,292540,6311843.040,125943.1997,4391.5677,562.4998,1483.1943,555.1044,52.286562033577944,11976.9317647,1128.1348624364778,238.98140361,24.30189786484067,8.33314554,0.7933506523056749,1.06736205,0.17967324584065983,2.81441044,0.21564290460462804,48,2.6532749363933443,16,480,0.145735108%,1.4264,0.03420,110.6243,3,393.7281
"CU Denver - University of Colorado, Denver",514,0,700,508,268,5,2,2,1,580432,12523400.832,100721.3731,6295.0855,7606.8688,4601.4015,1129.2451,99.9368879602036,24364.5930584,2156.2382946293533,195.95597879,17.980305141601512,12.24724805,1.123769071350096,14.97415118,0.7331486720368812,8.95214300,0.2440651925041035,23,1.4257107116339864,16,256,0.129441377%,2.4475,0.01963,54.1243,2,781.2005
"Princeton U - Princeton University",503,0,590,503,239,10,9,9,1,7519305,162236524.680,1632681.5772,102042.2326,8529.9467,2567.5457,14948.9165,1706.8815906536308,322537.8224254,36827.67719994274,3245.88782744,370.8582049340592,202.86726163,23.178650427053768,16.95814453,0.8640073459953569,5.10446461,0.31058056910045423,1615,180.03055434254043,16,32768,2.350682504%,3.1873,1.53751,2766.3784,2,10120.1952
"Clayton State U - Clayton State University",502,0,739,507,484,2,1,2,1,32182,694358.832,15528.5441,15528.5441,800.9582,5976.5522,64.1076,3.880567374476885,1383.1849243,83.72712167171328,30.93335478,2.099594471495945,30.93335478,2.099594471495945,1.57979921,0.24239817701561198,11.90548247,0.2084258153036227,5,0.2830472755536503,1,16,0.184080734%,1.7982,0.03457,10.2320,2,43.3136
"Florida State U - Florida State University",439,0,504,439,392,7,5,5,1,541615,11685885.240,116344.2764,7269.7262,1159.8396,1397.5517,1233.7472,191.8617861899134,26619.3285649,4139.609898833572,265.02113075,41.609377219175045,16.55974077,2.600643232231121,2.64200364,0.40544422430916116,3.18348907,0.226695075682791,44,3.2243277877553487,16,256,0.147657938%,2.4333,0.03672,194.9077,3,728.9569
"WPI - Worcester Polytechnic Institute",432,0,444,432,415,4,3,3,1,144640,3120752.640,30669.5914,1916.8492,519.4212,554.2387,334.8148,90.7076760989125,7223.9644444,1957.108819510136,70.99442454,19.721569742234202,4.43715093,1.2325981088896385,1.20236389,0.17030671059224006,1.28295995,0.1077127385617157,52,2.9892603368221864,16,512,0.039414814%,2.6151,0.04437,209.6247,2,194.6703
"IU - Indiana University",424,401,425,423,412,4,4,4,1,130900,2824298.400,28491.6640,1775.9527,358.3852,55.0612,308.7264,131.2297331806936,6661.0811321,2831.412723106645,67.19732075,28.531067503441147,4.18856769,1.7832522734968714,0.84724634,0.1604100558397692,0.12986132,0.06659413905843152,178,36.49727777729388,2,4096,0.034242836%,29.8390,0.13955,3969.4806,3,176.1777
"UPR Mayaguez - University of Puerto Rico, Mayaguez",420,0,423,420,419,9,4,4,1,23399,504856.824,5087.9468,317.9965,53.1359,148.0410,55.7119,18.71065608250135,1202.0400571,403.70111563604917,12.11415905,4.068419049726754,0.75713452,0.2542761906079235,0.12651405,0.0701424235766138,0.35247857,0.08644744400498845,32,1.4684454860813088,16,128,0.007430384%,1.4634,0.03125,50.1081,1,31.4926
"U Kansas - University of Kansas",413,0,795,411,72,9,2,2,1,1861474,40163163.024,404437.0975,25277.3185,8848.4162,8925.0736,4507.2010,125.77939901605104,97247.3680969,2713.8163131703172,979.26657990,27.373830842976762,61.20416102,1.71086442768607,21.52899319,0.5951791494469324,21.61034770,0,42,1.7831159044399207,16,160,0.590635716%,2.0314,0.04102,78.4928,1,2505.3486
"USC - University of Southern California",410,0,511,404,354,7,4,4,1,229483,4951325.208,47893.3287,2993.3330,1423.9682,2106.2961,559.7146,41.902635649063924,12076.4029463,904.0912667642033,116.81299683,8.892524155402187,7.30081220,0.5557827597126445,3.52467376,0.3851240431987869,5.13730756,0.33594228621721356,19,0.37865480787300426,16,640,0.061549781%,1.7185,0.01621,103.6783,2,308.8600
"U Vermont - University of Vermont",399,0,466,421,392,8,3,5,1,363209,7836597.384,75509.9050,4730.4468,314.2131,1316.9325,910.2982,105.41491096958836,19640.5949474,2274.4321190798387,189.24788221,22.696873111273852,11.85575639,1.1736069264273936,0.74634941,0.0833109086412962,3.30058271,0.21531725205433933,72,3.170270847076943,1,400,0.086844627%,1.2105,0.05561,142.9419,5,488.8412
"George Washington U - George Washington University",390,0,406,389,365,2,3,3,1,474227,10231921.752,103115.3064,6444.7065,674.0490,376.4984,1215.9667,230.81948989779067,26235.6968000,4980.161314034732,264.39822154,50.18906179327592,16.52488846,3.136816362079745,1.73277378,0.28167571855471213,0.96538051,0.15578941840999316,193,8.957569853948758,16,1792,0.150588517%,3.5566,0.18848,358.7745,1,638.2598
"NYU - New York University",380,0,545,380,355,15,2,3,1,1449308,31270269.408,293928.0577,18370.5040,416.5453,4253.5151,3813.9684,154.70746068884324,82290.1826526,3337.968171822482,773.49488868,31.35744490809993,48.34343158,1.9598403067562455,1.09617184,0.18351276513037962,11.19346079,0.3307402137578507,130,21.3795226268877,16,4096,0.377739613%,1.1646,0.11094,88.0556,2,1950.6164
"Louisiana State U - Louisiana State University",379,0,389,379,365,9,6,7,1,508700,10975711.200,112098.2577,6413.0000,419.5469,439.8935,1342.2164,274.81281089029824,28959.6601583,5929.361207769075,295.77376702,60.084080000254794,16.92084433,3.7045532307682225,1.10698391,0.2735559313662909,1.16066887,0.17741857657405577,536,98.56796587240207,8,16384,0.122381121%,4.3048,0.38603,6693.3226,5,684.6568
"George Mason U - George Mason University",378,0,390,378,104,5,4,4,1,502227,10836049.752,109204.5729,6825.2854,8273.7120,738.3894,1328.6429,82.4133918619687,28666.7982857,1778.151342813837,288.90098651,17.919752802683824,18.05631058,1.119984550167741,21.88812698,0.6820462519124539,1.95341111,0.12323524000514618,145,8.104797465946948,16,608,0.159481218%,12.4773,0.14160,185.2608,1,675.9448
"U Maryland, Eastern Shore - University of Maryland, Eastern Shore",375,0,550,379,102,2,1,2,1,198312,4278779.712,43120.9646,2695.0604,9906.5736,2561.0021,528.8320,26.703954575997845,11410.0792320,576.1645239317295,114.98923893,5.806448799267621,7.18682773,0.36290304995423545,26.13871662,0.768711650251454,6.82933893,0.3449022197265201,18,0.4362528441168032,16,64,0.062973407%,4.7395,0.01758,19.1833,1,266.9071
"SIO - Scripps Institution of Oceanography",371,0,533,369,290,7,7,7,1,2047576,44178499.776,503840.3171,27380.6543,2711.4502,4104.6986,5519.0728,634.2355198212407,119079.5142210,13684.26557566309,1358.06015391,188.0432996790118,73.80230270,8.85087993647157,7.34810352,0.903988334121691,11.06387763,0.3925915101918705,407,41.748551071576514,2,2688,0.583018559%,4.0385,0.28998,1042.6859,3,2755.8223
"Jackson State U - Jackson State University",370,0,441,368,260,8,1,1,1,528339,11399442.264,126396.9244,7381.2795,2656.6482,1849.4781,1427.9432,154.19331260326956,30809.3034162,3326.874912728144,341.61330919,33.896234246344186,19.94940405,2.112411419089175,7.21915272,0.7191916217971037,4.99858946,0.34449280283539047,73,5.185137936492791,16,256,0.164342648%,6.6818,0.06247,187.5958,3,711.0888
"U Tartu - University of Tartu",362,0,363,362,362,6,1,1,1,1811,39074.136,435.5785,15.7566,2.3023,15.5816,5.0028,1.2444461874508805,107.9396022,26.8501709404402,1.20325552,0.5478184429543647,0.04352652,0.017094694129308294,0.00635994,0.0010253026350158802,0.04304309,0.01709032806203872,4,0.7884824524598042,1,256,0.000589677%,1.1485,0.00355,20.3457,2,2.4374
"U Connecticut - University of Connecticut",353,0,433,356,119,8,4,4,1,272718,5884163.568,59252.0353,3703.2517,8550.2151,2101.2869,772.5722,68.21938057189698,16669.0186062,1471.9013552192491,167.85279122,14.829333944042851,10.49079802,0.9268333715026853,24.01745815,1.0045301512340943,5.95265411,0.39495521522806226,31,1.1808137241220138,16,256,0.086531054%,5.5244,0.03027,41.6366,1,367.0498
"Oregon Health & Sci U - Oregon Health and Science University",350,0,419,347,172,6,3,4,1,1389965,29989884.840,301353.4936,18834.5935,6157.8647,2045.4578,3971.3286,518.2102259131404,85685.3852571,11180.903834301918,861.00998171,112.26190164413036,53.81312429,7.016368852758152,17.74600778,0.9800171473750726,5.84416514,0.32725879391220225,114,7.874732370875096,16,512,0.440093496%,3.6795,0.11133,391.0686,1,1870.7470
"U Evry - University of Evry Val d'Essonne",346,0,618,346,323,1,1,1,1,2008725,43340250.600,407425.8667,25464.1169,1149.4194,6366.0292,5805.5636,0,125260.8398844,0,1177.53140665,0,73.59571358,0,3.32202139,0.34525060468464136,18.39892832,0,64,0,64,64,4.363344766%,1.1806,0.43287,64.0000,1,2703.5330
"Syracuse U - Syracuse University",332,0,388,330,303,2,2,2,1,372019,8026681.944,115702.2635,5193.7630,602.9791,1124.5043,1120.5392,127.93114605987286,24176.7528434,2760.242407387817,348.50079367,35.36647001103337,15.64386446,1.7272492980942886,1.82720939,0.33038818176990187,3.38706114,0.25865000337512806,116,4.247009194795059,1,256,0.150437334%,2.9106,0.09926,148.6991,3,500.6985
"Missouri S&T - Missouri University of Science and Technology",320,0,522,318,49,5,4,4,1,749272,16166292.672,162920.2665,10182.5163,9284.6090,4474.0777,2341.4750,252.74114992214493,50519.6646000,5453.143050720199,509.12583281,54.955716301793395,31.82036344,3.434732268862087,29.19688365,0.7994022536510903,13.98149281,0.11644345605913432,91,19.44550699229773,16,3072,0.237927057%,4.3488,0.08887,556.1090,1,1008.4415
"Indiana U of Penn - Indiana University of Pennsylvania",317,0,317,317,317,2,2,2,1,1412,30465.312,294.7199,56.3280,10.2279,9.4681,4.4543,0.8050310159552211,96.1050852,17.36934920024985,0.92971577,0.13630773858632142,0.17769085,0.12454451854631247,0.03226467,0.009984569180706967,0.02986782,0.0025578990039999967,27,0.5290787212924483,16,96,0.000412091%,4.7916,0.02535,41.2351,2,1.9004
"UT Hlth Sci Ctr Houston - University of Texas Health Science Center at Houston",310,310,333,310,302,1,1,1,1,121596,2623555.296,50004.2760,1650.9024,323.3095,366.7026,392.2452,94.91454225750422,8463.0816000,2047.8761637479113,161.30411613,40.83991818113781,5.32549161,1.289654403278458,1.04293387,0.2842264941385652,1.18291161,0.1364640938422218,102,6.907174845657503,16,1024,0.060097867%,1.7400,0.07997,479.4333,3,163.6555
"Yale U - Yale University",308,0,542,317,279,6,3,3,1,1381519,29807653.944,281659.6528,17603.7283,915.6136,5469.6570,4485.4513,82.902975983246,96778.0972208,1788.7146098145156,914.47939221,17.04968507410199,57.15496201,1.0656053171314042,2.88837098,0.3897948445832698,17.75862662,0,56,2.3372949993983396,16,192,0.361972957%,1.3577,0.04779,66.8098,2,1859.3795
"U Georgia - University of Georgia",303,0,558,303,179,4,4,4,1,2037129,43953095.304,485870.9733,28555.5720,3642.8337,6009.2892,6723.1980,876.3905138859193,145059.7204752,18909.001727602594,1603.53456535,192.47713923419875,94.24281188,11.969315411851653,12.02255347,0.947924455759187,19.83263762,0,71,7.431276807766578,16,640,0.568153744%,1.7704,0.05070,461.6945,4,2741.7618
"Penn State Behrend - Pennsylvania State University Erie, The Behrend College",289,36,305,290,261,4,3,3,1,385167,8310363.192,83785.3334,5290.4086,808.7113,255.0964,1332.7578,296.4753786753641,28755.5819792,6396.752770299656,289.91464844,64.4634707788301,18.30591211,4.029336525971708,2.78865966,0.4816365513288711,0.88268651,0.12677590620436208,192,12.001092106696706,16,976,0.117152451%,6.7575,0.18029,616.7912,2,518.3943
"Brown U - Brown University",283,0,445,283,143,6,6,6,1,2288678,49380516.528,497538.2754,31034.5811,4754.0121,4371.5483,8087.2014,1126.0344667564991,174489.4576961,24295.319654738225,1758.08577880,244.85354563871078,109.66283074,15.295107080416734,16.79862933,1.0169209291296915,15.44716714,0.3706381377750351,162,22.65003791275951,16,2048,0.598276369%,3.1123,0.13024,880.4474,3,3080.3203
"Oklahoma State U - Oklahoma State University",283,0,283,283,283,8,1,1,1,2774,59851.824,595.8994,37.3375,16.8053,8.6374,9.8021,1.8909994618453707,211.4905442,40.80020438877572,2.10565159,0.411599007053168,0.13193463,0.02571941091362728,0.05938269,0.013380964900968824,0.03052085,0.005792315149327379,65,5.7844489522276135,1,256,0.000774795%,2.5789,0.05562,210.5782,3,3.7335
"Rogers State U - Rogers State University",282,0,282,282,282,1,1,1,1,111527,2406306.552,24250.1910,1515.6368,3.0373,16.6651,395.4858,221.8040041387084,8533.0019574,4785.643193296773,85.99358511,48.22874956377346,5.37459858,3.0142968477358423,0.01077057,0.003900237506797786,0.05909610,0.012756598044694326,97,25.481500562520292,16,4096,0.035414726%,1.2005,0.09473,3829.7577,1,150.1036
"NOAA - National Oceanic and Atmospheric Administration",280,0,280,280,276,2,1,1,1,34725,749226.600,7550.5957,471.9121,109.9249,36.6751,124.0179,46.95111996186978,2675.8092857,1013.0173642973024,26.96641321,10.208986691197348,1.68540036,0.6380616681998363,0.39258893,0.17155108224685106,0.13098250,0.020188309095029215,75,13.796346328348582,16,2560,0.011026811%,8.2597,0.07324,1473.5979,1,46.7362
"Hobart and William Smith Colleges - Hobart and William Smith Colleges",266,0,272,266,219,1,1,1,1,32738,706355.088,7117.8760,444.8675,2229.8075,171.4264,123.0752,25.869791673792633,2655.4702556,558.1666251537499,26.75893233,5.625137170802633,1.67243421,0.35157107317516545,8.38273496,0.41268907040165037,0.64446015,0.11161945976071033,42,1.175257996697555,16,192,0.010394872%,17.0043,0.04102,59.0594,1,44.0619
"UNC - University of North Carolina, Chapel Hill",263,0,348,266,117,6,4,4,1,417805,9014560.680,90750.6531,5671.9152,4900.3904,2064.3597,1588.6122,259.48705658890646,34275.8961217,5598.692732962246,345.05951749,56.418873628370996,21.56621749,3.526179601773194,18.42252030,1.0574467829113932,7.84927643,0.49979646896155744,69,8.709343422322577,16,1152,0.132531307%,4.5785,0.06738,220.7736,1,562.3217
"CSU-Los Angeles - California State University-Los Angeles",259,0,317,270,268,1,1,1,1,56645,1222172.520,11480.4978,717.5314,186.2638,717.5314,218.7066,15.61749277776343,4718.8128185,336.96302417302377,44.32624633,3.168740301580869,2.77039151,0.19804626884880996,0.68986593,0.0849528365641624,2.77039151,0.19804626884880996,16,0,16,16,0.122950883%,1.2574,0.10822,16.0000,1,76.2382
"Lehigh U - Lehigh University",250,0,339,258,190,7,5,5,1,597856,12899341.056,129983.8626,8247.1247,2251.8561,1572.9500,2391.4240,309.78823079719024,51597.3642240,6683.990867680177,519.93545040,67.35978056612534,32.98849880,4.208416197855858,8.72812442,0.9376636632002645,6.29180000,0.46808777269979696,65,4.507083392172814,16,320,0.160760346%,2.6380,0.05359,168.3183,3,804.6514
"U Edinburgh - University of Edinburgh",235,0,256,234,230,2,2,3,1,109217,2356465.992,55505.2317,42255.7746,546.8843,264.6655,464.7532,110.03153962762428,10027.5148596,2374.0404990056218,236.19247532,59.09587258515304,179.81180681,58.418453192322666,2.33711239,1.2204096906217574,1.12623617,0.2297086817107721,61,4.934665917149133,16,384,0.064355331%,4.2407,0.04634,247.4922,4,146.9946
"CUNY Baruch College - CUNY Baruch College",226,0,244,226,219,1,1,1,1,31925,688813.800,6444.3156,402.7696,134.3707,402.7696,141.2611,15.4828819598089,3047.8486726,334.05866116483685,28.51467080,3.144785307307971,1.78216637,0.19654908170675656,0.59456062,0.06893919218085874,1.78216637,0.19654908170675656,16,0,16,16,0.069015674%,1.3336,0.10822,16.0000,1,42.9677
"NCSA - National Center for Supercomputing Applications",225,0,226,225,204,3,3,4,1,53390,1151942.640,11443.3513,715.2092,420.0683,78.9270,237.2889,90.18804696856182,5119.7450667,1945.89730139369,50.85933911,19.60858306038578,3.17870756,1.2255364412741117,1.86697022,0.3957571566413012,0.35078667,0.03511993724001436,78,12.939400045035079,16,2048,0.016711751%,9.8062,0.07617,846.7776,1,71.8573
"SUNY Binghamton - SUNY at Binghamton",224,0,339,226,184,5,4,4,1,199023,4294120.248,41865.6051,2616.5060,1508.7154,2143.0621,888.4955,42.16675540065366,19170.1796786,909.7899145245035,186.90002277,8.911548275265845,11.68083036,0.5570096168151627,6.67573186,0.8302435071926119,9.56724152,0.4882391414787745,21,0.5748252345527955,16,80,0.053133588%,1.5927,0.01753,22.9689,3,267.8641
"U Akron - University of Akron",221,0,280,221,63,2,2,2,1,749797,16177620.072,163712.1509,11379.0470,6878.2173,1375.2617,3392.7466,302.35895407240366,73201.9007783,6523.696793066181,740.77896335,65.60597057567813,51.48890045,4.162706926192587,31.12315520,1.6870378094408414,6.22290362,0.4449466822585522,95,2.1654277281279737,16,192,0.228909750%,5.0580,0.08921,132.6126,2,1009.1480
"U Brasilia - University of Brasilia",220,0,221,220,220,2,2,2,1,6419,138496.344,1395.4532,87.2158,57.9392,87.2158,29.1773,4.597919383871835,629.5288364,99.20470862641871,6.34296909,0.9998141802209264,0.39643545,0.0624883862638089,0.26336000,0.088479977890544,0.39643545,0.0624883862638089,16,0,16,16,0.002037905%,1.6643,0.01563,16.0000,1,8.6393
"NCAR - National Center for Atmospheric Research",219,199,234,211,40,4,4,4,1,467728,10091699.328,101456.8714,6340.4554,5218.2003,675.0117,2135.7443,305.88094282964073,46080.8188493,6599.687222492328,463.27338539,66.5073316473954,28.95185114,4.156792505645393,24.73080711,0.9134337882338991,3.08224521,0.14823799275225688,245,44.210522485202084,16,3600,0.131622357%,7.5292,0.19511,682.5604,2,629.5128
"UT San Antonio - University of Texas at San Antonio",212,0,237,212,139,3,1,1,1,315976,6817498.176,67927.5011,4212.2508,2269.2315,754.6320,1490.4528,199.04648868876578,32158.0102642,4294.62703994881,320.41274104,43.041277070537454,19.86910755,2.694479282021394,10.70392217,1.0396550045210826,3.55958491,0.3306330406832681,62,3.713050193583177,16,128,0.097799835%,3.9447,0.05903,120.2722,2,425.2705
"IIT - Illinois Institute of Technology",209,0,244,208,175,5,1,1,1,829510,17897507.760,178740.9022,11171.3065,1121.4520,1043.0301,3968.9474,679.1600307983878,85634.0084211,14653.556824506015,855.21962775,147.50209956250737,53.45122727,9.218881222656714,5.39159615,0.8434127524394538,4.99057464,0.4588072946298734,68,7.969432019228979,16,512,0.229707636%,2.2904,0.05803,339.8330,2,1116.4334
"Northeastern U - Northeastern University",207,0,258,206,176,4,3,3,1,440766,9509967.216,93109.4274,5819.3397,1004.0121,1351.2941,2129.3043,370.4518262138504,45941.8706087,7992.868602390036,449.80399710,80.41688939095414,28.11275217,5.026055586934637,4.87384515,0.9424805636807005,6.52799082,0.6004460852423704,83,8.849172224307557,16,480,0.119658938%,4.0070,0.07083,287.7957,2,593.2248
"LLNL - Lawrence Livermore National Laboratory",201,0,289,201,50,2,2,2,1,1359853,29340188.328,293508.3687,18344.2733,4732.0405,2184.4489,6765.4378,247.04028905227116,145971.0862090,5330.141276591803,1460.24064030,53.04701478425533,91.26504129,3.3154384240159933,23.54249005,1.032299294289558,10.86790498,0.3680481894597921,147,4.974565944799173,16,512,0.428636558%,3.4066,0.14355,140.5975,1,1830.2194
"UT El Paso - University of Texas at El Paso",199,0,205,196,177,6,4,4,1,28648,618109.248,6228.9736,389.3108,567.2183,140.6647,143.9598,45.190037122806615,3106.0766231,975.0202409616755,31.30137487,9.826080173149021,1.95633568,0.6141300108218143,2.89397092,0.7176981121600621,0.70685779,0.20635836292637477,21,0.6912214053157274,16,48,0.009096728%,5.3860,0.02051,45.7470,1,38.5572
"IFJ PAN - Institute of Nuclear Physics PAN",191,0,191,191,191,1,1,1,1,42674,920734.224,9183.1153,573.9449,28.0943,140.4349,223.4241,25.81129418825921,4820.5980314,556.9044834058808,48.07913770,5.543669913143132,3.00494712,0.34647936957145203,0.14709058,0.07324791379843121,0.73526126,0.05931751807638542,43,2.896048069801237,16,256,0.013410926%,1.2032,0.04199,97.9527,1,57.4347
"Vanderbilt U - Vanderbilt University",188,0,229,189,63,3,2,2,1,600857,12964090.632,130650.7465,8165.6714,3729.6096,1422.1559,3196.0479,992.0625159446938,68957.9288936,21404.740844022715,694.95077926,215.71254927198794,43.43442234,13.482034329499252,19.73338413,1.1131818336372405,7.56465904,0.41208901630290073,95,14.697218947868711,32,1280,0.190800986%,2.6755,0.09277,702.1732,1,808.6904
"SUNY ESF - SUNY College of Environmental Science and Forestry",185,0,185,180,185,2,1,1,1,177,3818.952,99.4090,99.4090,154.2191,6.2131,0.9568,0.10281627181931778,20.6429838,2.2183638807736004,0.53734595,0.05707833204697342,0.53734595,0.05707833204697342,0.85677278,0.029213742151764303,0.03358432,0.0035673957529455567,16,0,16,16,0.003266457%,26.6412,0.39063,16.0000,1,0.2382
"Texas A&M Kingsville - Texas A&M University, Kingsville",181,0,195,181,103,1,1,1,1,22095,476721.720,4425.8490,276.6156,1007.0937,276.6156,122.0718,24.829051993274305,2633.8216575,535.7116258068864,24.45220442,5.043281591600722,1.52826298,0.31520509947504927,5.56405359,0.39053543306638466,1.52826298,0.31520509947504927,16,0,16,16,0.047398819%,4.6407,0.10822,16.0000,1,29.7376
"U North Dakota - University of North Dakota",181,0,182,181,169,4,1,1,1,64049,1381921.224,13926.4089,870.4002,315.6041,28.2901,353.8619,116.05755674880729,7634.9238895,2504.057844412266,76.94148564,25.235428202341378,4.80884088,1.5772142626463392,1.74366906,0.45675073932941757,0.15629890,0.04367222354087044,183,13.550815578041755,16,576,0.020337982%,7.9012,0.17871,556.1632,1,86.2032
"Washington State U - Washington State University",179,0,249,173,143,6,5,5,1,954550,20595370.800,212951.9215,11696.4070,796.5686,1796.7267,5332.6816,582.8762728990223,115057.9374302,12576.138464069305,1189.67553911,125.77486583185522,65.34305587,7.100507416522608,4.60444277,0.762277836255409,10.03757933,0.6221906051635999,85,6.960339015817504,1,512,0.268821405%,1.5314,0.07085,200.6139,3,1284.7241
"U Wisconsin-Milwaukee - University of Wisconsin-Milwaukee",172,0,223,172,87,5,1,1,1,635398,13709347.248,138159.6578,8634.9790,2484.0249,1163.3243,3694.1744,315.5890834862819,79705.5072558,6809.150065300018,803.25382442,68.62140763517937,50.20336628,4.288837977198714,14.44200523,1.1910277326043908,6.76351337,0.51211288950339,86,3.967157358222246,16,128,0.201766922%,3.2418,0.08398,126.0486,1,855.1790
"Temple U - Temple University",170,0,477,182,52,6,3,3,1,1783111,38472402.936,404615.3069,59787.2819,18431.6677,7021.6041,10488.8882,0,226308.2525647,0,2380.09004059,0,351.68989353,0,101.27289945,8.700948511666082,41.30355353,0,59,3.7545607248727357,16,288,0.500416709%,2.3809,0.04865,80.8990,3,2399.8802
"West Virginia U - West Virginia University",170,0,267,172,4,1,1,1,1,1019854,22004369.904,214006.7244,13375.4198,5294.4561,2398.6799,5999.1412,187.36038538880354,129437.4700235,4042.487675148825,1258.86308471,42.89611817260586,78.67894000,2.6810073857878662,30.78172151,0.8397455846083105,14.10988176,0.2773044547128434,83,1.5843895515261552,64,144,0.312533186%,2.9974,0.08105,94.1341,1,1372.6164
"ORNL - Oak Ridge National Laboratory",166,0,169,166,153,2,2,2,1,319985,6903996.360,69405.1601,4337.8226,328.5754,159.5090,1927.6205,644.3075395692903,41590.3395181,13901.579473747008,418.10337410,140.1125108235962,26.13146145,8.757031926474767,1.97936988,0.5321309276432836,0.96089759,0.16002388348996138,176,20.653425617529187,32,1920,0.089195562%,4.5750,0.15019,884.4242,2,430.6662
"PSC - Pittsburgh Supercomputing Center",164,0,170,164,162,1,2,2,1,8562,184733.712,2346.2002,1437.7169,108.8306,138.3554,52.2073,4.086972482180153,1126.4250732,88.18051827551898,14.30609878,1.5974765130059134,8.76656646,1.614930060645801,0.66360122,0.1781553669007452,0.84363049,0.09971975395505488,20,0.6597142840608772,16,64,0.002901714%,2.2414,0.01649,19.5057,3,11.5236
